id,title,original_title,year,rating,rating_count,director,screenwriter,actors,genre,region,language,duration,release_date,aka,imdb,synopsis,poster_url,ranking,tags,url
1306249,唐伯虎点秋香, 唐伯虎點秋香,1993,8.8,1228081,李力持 Lik-Chi Lee   主演: 周星驰 Stephen Chow,,,喜剧 爱情 古装,中国香港,,,,,,,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2357915564.jpg,100,,https://movie.douban.com/subject/1306249/
6985810,狩猎, Jagten,2012,9.1,472618,托马斯·温特伯格 Thomas Vinterberg   主演: 麦斯·米科尔森 Mads Mik... 2012,,,剧情,丹麦 瑞典,,,,,,人言可畏。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1546987967.jpg,101,,https://movie.douban.com/subject/6985810/
1297359,幽灵公主, もののけ姫,1997,8.9,672043,宫崎骏 Hayao Miyazaki   主演: 松田洋治 Yôji Matsuda,,,动画 奇幻 冒险,日本,,,,,,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2920895053.jpg,102,,https://movie.douban.com/subject/1297359/
1305164,甜蜜蜜,,1996,8.9,676439,陈可辛 Peter Chan   主演: 黎明 Leon Lai,,,剧情 爱情,中国香港,,,,,,,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2223011274.jpg,103,,https://movie.douban.com/subject/1305164/
27010768,寄生虫, 기생충,2019,8.8,1552705,奉俊昊 Joon-ho Bong   主演: 宋康昊 Kang-ho Song,,,剧情,韩国,,,,,,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2561439800.jpg,104,,https://movie.douban.com/subject/27010768/
1428581,天书奇谭,,1983(中国大陆),9.2,337053,王树忱 Shuchen Wang,,,中国大陆,2021,,,,,,,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2700138245.jpg,105,,https://movie.douban.com/subject/1428581/
3395373,蝙蝠侠：黑暗骑士崛起, The Dark Knight Rises,2012,8.9,816806,克里斯托弗·诺兰 Christopher Nolan   主演: 克里斯蒂安·贝尔 Christ... 2012,,,剧情 动作 科幻 犯罪 惊悚,美国 英国,,,,,,诺兰就是保证。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1706428744.jpg,106,,https://movie.douban.com/subject/3395373/
11026735,超能陆战队, Big Hero 6,2014,8.8,1149249,唐·霍尔 Don Hall,,,喜剧 动作 科幻 动画 冒险,美国,,,,,,Balalala~~~,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2224568669.jpg,107,,https://movie.douban.com/subject/11026735/
10777687,7号房的礼物, 7번방의 선물,2013,8.9,624015,李焕庆 Hwan-kyeong Lee   主演: 柳承龙 Seung-yong Ryoo,,,剧情 喜剧 家庭,韩国,,,,,,《我是山姆》的《美丽人生》。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1816276065.jpg,108,,https://movie.douban.com/subject/10777687/
1461403,茶馆,,1982(中国大陆),9.5,210854,谢添 Tian Xie   主演: 于是之 Shizhi Yu,,,剧情 历史,中国大陆,,,,,,,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2528965424.jpg,109,,https://movie.douban.com/subject/1461403/
1297630,第六感, The Sixth Sense,1999,8.9,641213,M·奈特·沙马兰 M. Night Shyamalan   主演: 布鲁斯·威利斯 Bruce Wi... 1999,,,剧情 悬疑 惊悚,美国,,,,,,,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2220184425.jpg,110,,https://movie.douban.com/subject/1297630/
1296339,爱在黎明破晓前, Before Sunrise,1995,8.8,805195,理查德·林克莱特 Richard Linklater   主演: 伊桑·霍克 Ethan Hawke ... 1995,,,剧情 爱情,美国 奥地利 瑞士,,,,,,,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2555762374.jpg,111,,https://movie.douban.com/subject/1296339/
1291990,爱在日落黄昏时, Before Sunset,2004,8.9,657221,理查德·林克莱特 Richard Linklater   主演: 伊桑·霍克 Ethan Hawke ... 2004,,,剧情 爱情,美国 法国,,,,,,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2191788134.jpg,112,,https://movie.douban.com/subject/1291990/
1787291,被嫌弃的松子的一生, 嫌われ松子の一生,2006,8.8,777257,中岛哲也 Tetsuya Nakashima   主演: 中谷美纪 Miki Nakatani,,,剧情 歌舞,日本,,,,,,以戏谑来戏谑戏谑。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p884763596.jpg,113,,https://movie.douban.com/subject/1787291/
10533913,头脑特工队, Inside Out,2015,8.8,810626,彼特·道格特 Pete Docter,,,喜剧 动画 冒险,美国,,,,,,愿我们都不用长大，每一座城堡都能永远存在。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2874927470.jpg,114,,https://movie.douban.com/subject/10533913/
1309055,哈利·波特与火焰杯, Harry Potter and the Goblet of Fire,2005,8.8,805516,迈克·内威尔 Mike Newell   主演: 丹尼尔·雷德克里夫 Daniel Radclif... 2005,,,悬疑 奇幻 冒险,英国 美国,,,,,,,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2913456904.jpg,115,,https://movie.douban.com/subject/1309055/
1395091,未麻的部屋, Perfect Blue,1997,9.1,427803,今敏 Satoshi Kon   主演: 岩男润子 Junko Iwao,,,剧情 犯罪 动画 悬疑 惊悚,日本,,,,,,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1351050722.jpg,116,,https://movie.douban.com/subject/1395091/
1291999,重庆森林, 重慶森林,1994,8.8,926230,王家卫 Kar Wai Wong   主演: 林青霞 Brigitte Lin,,,剧情 爱情,中国香港,,,,,,,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p792381411.jpg,117,,https://movie.douban.com/subject/1291999/
4202302,借东西的小人阿莉埃蒂, 借りぐらしのアリエッティ,2010,8.9,630231,米林宏昌 Hiromasa Yonebayashi   主演: 志田未来 Mirai Shida,,,动画 奇幻 冒险,日本,,,,,,曾经的那段美好会沉淀为一辈子的记忆。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p617533616.jpg,118,,https://movie.douban.com/subject/4202302/
1293359,菊次郎的夏天, 菊次郎の夏,1999,8.9,676014,北野武 Takeshi Kitano   主演: 北野武 Takeshi Kitano,,,剧情 喜剧,日本,,,,,,,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2620392435.jpg,119,,https://movie.douban.com/subject/1293359/
